t_meas_s,lat_deg,lon_deg,alt_m,pitch_rad,roll_rad,heading_rad,v_e_mps,v_n_mps,v_u_mps
165.15,42.935172253370155,-8.40213420252536,516.9649500739245,0.021601735331606507,0.1542637010897936,1.5442977995737301,46.066352550782476,0.90538208631537,0.01147616389847119
165.2,42.93517266083102,-8.40210598708917,516.9655238821193,0.02157442918762768,0.15481413064718783,1.54553435378668,46.08503139326213,0.8494227468933262,0.013303859278186888
165.25,42.93517304310778,-8.402077760212102,516.9661890750832,0.021553262837381317,0.15518438973281282,1.5469733669667853,46.10327308620371,0.7853270821792682,0.015039588962833096
165.3,42.93517339653873,-8.402049522161919,516.9669410545314,0.02154041975457594,0.15526994640312666,1.5483906750664103,46.12040499524884,0.7236999658600364,0.01640037605713671
165.35,42.935173722234836,-8.402021273618374,516.9677610733343,0.021532712090423758,0.15522582921470757,1.550280713439987,46.13638485136808,0.6408059273912479,0.01748246569873377
165.4,42.935174010625055,-8.401993015287106,516.9686351966192,0.021522491517044495,0.1553560596038612,1.5520951847296542,46.146917729114364,0.5602074273719476,0.018757524776956875
165.45,42.93517426274248,-8.401964750504389,516.969573072858,0.02151887794683977,0.1550312836300041,1.5534961326436871,46.1578829832054,0.4997915945512937,0.018934546072010144
165.5,42.93517448767019,-8.401936479005402,516.9705198001616,0.02152468376793075,0.1543060309455032,1.5542751650586961,46.1676975775593,0.4685482962116738,0.01797049437191344
165.55,42.93517469853707,-8.401908201494928,516.9714183248802,0.021536196064980216,0.15335549593598885,1.5543447364362777,46.17802706153342,0.470328020552166,0.01592880377898661
165.6,42.93517491020489,-8.401879917657599,516.9722147650692,0.02157887288208979,0.15212528071141118,1.5552629123984874,46.18770135675529,0.4330486376770861,0.012303465101135471
165.65,42.9351751050954,-8.401851627894718,516.9728299383243,0.02166823978182147,0.15053509145822777,1.5565680111264664,46.19802374452571,0.3785187091829346,0.007883190984436919
165.7,42.93517527544509,-8.401823331809348,516.9732240978735,0.021791934279196328,0.14873839073368364,1.5575446063216027,46.20796161034582,0.3391901348355689,0.0034725019633204397
165.75,42.935175428095235,-8.40179502963701,516.9733977229716,0.021947261603545373,0.14668212019892402,1.559870298784129,46.217455023575994,0.23761493329885422,-0.0014943335573370817
165.8,42.93517553503217,-8.401766721649949,516.9733230062938,0.022117570461333835,0.14458603379734972,1.562848633364399,46.225753726747264,0.10561073330563073,-0.006854644099184351
165.85,42.93517558256154,-8.401738408579947,516.9729802740887,0.02229888763889054,0.14255426062177792,1.566038677622526,46.230713250042555,-0.037262568337657,-0.012125425249917636
165.9,42.93517556579178,-8.401710092472266,516.9723740028262,0.022476947496322074,0.1408759091749728,1.5685229730877053,46.2320140960699,-0.14925120109631076,-0.016214056229436193
165.95,42.93517549862232,-8.40168177556785,516.9715633000147,0.022632721270968235,0.13869003519262296,1.571044900723793,46.2343794296751,-0.2617669662484995,-0.020836097668488485
166.0,42.93517538081593,-8.40165345721473,516.9705214951313,0.02275028800401558,0.13657497476424824,1.5730560774899098,46.2354268566236,-0.3510985138439115,-0.02514343801361521
166.05,42.9351752228065,-8.401625138220131,516.9692643232306,0.02280371846725843,0.13430876225909766,1.5739593952499096,46.23472050843515,-0.3892454226188533,-0.030029336203687144
166.1,42.93517504762932,-8.401596819658243,516.9677628564204,0.02281314356482955,0.13194330474375918,1.5754144741764646,46.23347152130785,-0.45282728050172766,-0.035332811584525385
166.15,42.93517484383758,-8.40156850186144,516.9659962158412,0.022769336361195318,0.12925862789161363,1.576898520651672,46.23071255234453,-0.5172325216407152,-0.041693052260777456
166.2,42.9351746110607,-8.401540185754595,516.9639115632282,0.022687406740557955,0.1268748253666759,1.5782347375211474,46.227555689195995,-0.57546256572938,-0.047283317487047206
166.25,42.93517435207781,-8.401511871581421,516.9615473973538,0.022578106917593977,0.12453889093955357,1.579976240976877,46.22371143155178,-0.6524502600110952,-0.05357468425837003
166.3,42.93517405844713,-8.401483559762964,516.9588686631408,0.022444217575811453,0.12216444844232462,1.5811487668748807,46.21906796519584,-0.7026793126434897,-0.061262001168482544
166.35,42.93517374221123,-8.401455250788743,516.9558055630824,0.022317308217607707,0.11970140927873917,1.5824976406643225,46.21298346700194,-0.7603459006277558,-0.07027254397342231
166.4,42.93517340002288,-8.40142694554139,516.9522919358837,0.022210567863551557,0.11759607410163687,1.583620890934288,46.20700455311797,-0.8079359753176396,-0.07881382430689562
166.45,42.935173036416955,-8.401398643956249,516.9483512446684,0.02212627182404218,0.11532338657176443,1.5854083102785808,46.19941623348282,-0.88528017007048,-0.08860748172023063
166.5,42.93517263800281,-8.401370347019084,516.9439208705824,0.02207253150729829,0.1131054824023528,1.586673005363492,46.19145098293605,-0.9379347262768362,-0.09880767139880654
166.55,42.93517221589186,-8.401342054960773,516.9389804870124,0.022030910444961253,0.11072236575617415,1.5880906114754794,46.18220040760669,-0.996929202083328,-0.10963397639887196
166.6,42.93517176723085,-8.401313768568583,516.9334987881924,0.022008131426345025,0.10861394339348936,1.589408762590435,46.17355123064652,-1.0518033918031282,-0.11931991597149662
