T Lat Lon Hsns Ve Vn SNS_GOOD Shassi
1271.5 42.86467807571251 -8.34743535251714 517.0328595136232 1.8342371505863904 -39.201415338205805 1 1
1271.5500000000002 42.86466043317228 -8.347434230334493 517.0090175879112 1.8277818617647985 -39.20732866479202 1 1
1271.6 42.864642787970645 -8.34743311210149 516.9856373941493 1.8200118597050696 -39.21231614622664 1 1
1271.65 42.86462514052428 -8.347431998622472 516.9627176493302 1.8139786776468068 -39.21670068578421 1 1
1271.7 42.86460749110454 -8.347430888834852 516.9402504145013 1.811524900228637 -39.22099922387518 1 1
1271.75 42.86458983975014 -8.34742978054876 516.9182632122665 1.8067737426927413 -39.22526563153347 1 1
1271.8000000000002 42.86457218647553 -8.347428675169725 516.896786291562 1.8017937832626107 -39.22926727774245 1 1
1271.85 42.86455453139987 -8.347427572837724 516.8758585985654 1.798527239922867 -39.23304926576248 1 1
1271.9 42.86453687462201 -8.347426472504496 516.8555123112735 1.7981212729345954 -39.23699253630008 1 1
1271.95 42.86451921606938 -8.347425372419945 516.8358718984072 1.7955495580769658 -39.24043000463999 1 1
1272.0 42.86450155596962 -8.347424273909072 516.8168747767436 1.7933131153216135 -39.24405772220027 1 1
1272.0500000000002 42.8644838942371 -8.347423176766755 516.7985986212074 1.7930897289187946 -39.24729287826158 1 1
1272.1 42.8644662310485 -8.347422079761415 516.7810782980752 1.7925202406666392 -39.2503463093041 1 1
1272.15 42.864448566485606 -8.347420983104797 516.764318685394 1.7929095218825088 -39.25216867699592 1 1
1272.2 42.86443090110244 -8.347419886210327 516.7479880999931 1.7920069660952176 -39.25398584097119 1 1
1272.25 42.86441323490137 -8.347418789868346 516.732161787251 1.793773142628295 -39.25584432287588 1 1
1272.3000000000002 42.8643955678638 -8.347417692446136 516.7170042332779 1.79651342625485 -39.257771042914165 1 1
1272.35 42.86437789995901 -8.347416593347745 516.7026131458392 1.8000280610184076 -39.259613312181024 1 1
1272.4 42.86436023122502 -8.347415492099428 516.689025463824 1.801477937146816 -39.261632134719406 1 1
1272.45 42.86434256158237 -8.347414389964396 516.6763517749202 1.8046329834073649 -39.26322999014324 1 1
1272.5 42.86432489122051 -8.347413285899435 516.6646693794662 1.8083084750326432 -39.26478482728609 1 1
1272.5500000000002 42.86430722015882 -8.347412179586142 516.6539735157651 1.811110214547472 -39.26621226891883 1 1
1272.6 42.864289548454636 -8.347411071559074 516.6443212769694 1.8162893915296312 -39.26695940759849 1 1
1272.65 42.8642718764141 -8.347409960363732 516.6356324721257 1.8229184224785324 -39.266801262288936 1 1
1272.7 42.86425420444466 -8.3474088451131 516.6276485308941 1.828389008433009 -39.26696531077208 1 1
1272.75 42.86423653240132 -8.347407726515913 516.6205129687567 1.833413640301583 -39.2670563136428 1 1
1272.8000000000002 42.86421886031695 -8.34740660484501 516.6142591474905 1.8408361343256 -39.266749627489126 1 1
1272.85 42.86420118837054 -8.347405478633387 516.6088562519313 1.848370289916068 -39.2661465727633 1 1
1272.9 42.86418351669546 -8.347404347812743 516.6043243024283 1.851042504154632 -39.2656571275229 1 1
1272.95 42.86416584524057 -8.347403215357573 516.6006514715327 1.8585892607788943 -39.26474099373414 1 1
1273.0 42.864148174197936 -8.347402078285677 516.5978901041245 1.8676236582389127 -39.26365312959037 1 1
1273.0500000000002 42.86413050364483 -8.347400935686924 516.5958486678331 1.8752299481233563 -39.26239725144592 1 1
1273.1 42.86411283365687 -8.347399788435023 516.5946140675644 1.8826808707440603 -39.26098913415166 1 1
1273.15 42.86409516430256 -8.347398636625035 516.5941724503283 1.8924433276894213 -39.25934291854542 1 1
1273.2 42.864077495689095 -8.347397478842774 516.5944523613159 1.9024449768679503 -39.25757595423342 1 1
1273.25 42.864059827870776 -8.347396314941916 516.595397701198 1.906554537521606 -39.25578760293858 1 1
1273.3000000000002 42.86404216085725 -8.347395148527195 516.5970480599873 1.917062215208655 -39.25344775271365 1 1
1273.35 42.86402449489673 -8.347393975684293 516.5994396393228 1.9282176403730944 -39.25106843400607 1 1
1273.4 42.86400683000697 -8.347392796016932 516.6025438440079 1.9352600841614327 -39.24875260713044 1 1
1273.45 42.8639891661594 -8.347391612041399 516.6063134287084 1.9490037277904029 -39.245859379613954 1 1
1273.5 42.86397150361388 -8.347390419657964 516.6107691395838 1.9649415302668745 -39.24298025811154 1 1
1273.5500000000002 42.86395384236405 -8.347389217524267 516.6158147764438 1.9793711450724016 -39.2399713588154 1 1
1273.6 42.86393618246834 -8.347388006563003 516.6214728122792 1.9865633326514696 -39.23708813620706 1 1
1273.65 42.86391852387018 -8.347386791201973 516.6277342854626 1.9994465773265824 -39.23394085946668 1 1
1273.7 42.86390086668841 -8.347385567959444 516.6345588730579 2.0126426246985245 -39.2305100278146 1 1
1273.75 42.86388321105065 -8.34738433664405 516.6419593881204 2.0186838520412254 -39.22703664616085 1 1
1273.8000000000002 42.86386555697604 -8.347383101633044 516.649983106104 2.03232591510042 -39.22308583723075 1 1
1273.85 42.863847904679446 -8.347381858276313 516.6585967110761 2.047072524886341 -39.21937342555652 1 1
1273.9 42.8638302540536 -8.347380605898111 516.6677059928754 2.0598750596230837 -39.21553071268154 1 1
1273.95 42.86381260515713 -8.347379345687811 516.6773171046528 2.0716290208033947 -39.21201807673042 1 1
1274.0 42.86379495784149 -8.34737807828692 516.6873710096729 2.086230383594627 -39.20808065078607 1 1
1274.0500000000002 42.863777312297856 -8.347376801953434 516.6978371841365 2.1011635986866724 -39.20442107995061 1 1
